SNO.,Year,Death Rate,Growth Rate
1,2020,9.028,-0.0177
2,2019,9.191,-0.0175
3,2018,9.355,-0.0308
4,2017,9.652,-0.0299
5,2016,9.949,-0.0291
6,2015,10.247,-0.0282
7,2014,10.544,-0.0274
8,2013,10.841,-0.0267
9,2012,11.138,-0.026
10,2011,11.435,-0.0253
11,2010,11.732,-0.0247
12,2009,12.029,-0.0241
13,2008,12.326,-0.0235
14,2007,12.622,-0.023
15,2006,12.919,-0.0224
16,2005,13.215,-0.022
17,2004,13.512,-0.0214
18,2003,13.808,-0.0153
19,2002,14.022,-0.015
20,2001,14.235,-0.0148
21,2000,14.449,-0.0145
22,1999,14.662,-0.0144
23,1998,14.876,0.0077
24,1997,14.762,0.0079
25,1996,14.647,0.0078
26,1995,14.533,0.008
27,1994,14.418,0.008
28,1993,14.304,0.0032
29,1992,14.258,0.0032
30,1991,14.212,0.0032
31,1990,14.166,0.0033
32,1989,14.12,0.0033
33,1988,14.074,-0.0142
34,1987,14.277,-0.014
35,1986,14.48,-0.0138
36,1985,14.683,-0.0136
37,1984,14.886,-0.0135
38,1983,15.089,-0.0173
39,1982,15.354,-0.017
40,1981,15.62,-0.0167
41,1980,15.885,-0.0165
42,1979,16.151,-0.0161
43,1978,16.416,-0.0217
44,1977,16.78,-0.0212
45,1976,17.144,-0.0208
46,1975,17.508,-0.0204
47,1974,17.872,-0.02
48,1973,18.236,-0.0195
49,1972,18.598,-0.0191
50,1971,18.96,-0.0187
51,1970,19.321,-0.0184
52,1969,19.683,-0.0181
53,1968,20.045,-0.0143
54,1967,20.335,-0.0141
55,1966,20.625,-0.0139
56,1965,20.915,-0.0137
57,1964,21.205,-0.0135
58,1963,21.495,-0.0138
59,1962,21.795,-0.0136
60,1961,22.096,-0.0134
61,1960,22.396,-0.0133
62,1959,22.697,-0.013
63,1958,22.997,-0.0128
64,1957,23.296,-0.0127
65,1956,23.595,-0.0125
66,1955,23.894,-0.0124
67,1954,24.193,-0.0122
68,1953,24.492,-0.0121
69,1952,24.791,-0.0119
70,1951,25.09,-0.0118
71,1950,25.389,0
