Year,Death Rate,Growth Rate
2020,6.884,-0.0072
2019,6.934,-0.007
2018,6.983,-0.0087
2017,7.044,-0.0086
2016,7.105,-0.0084
2015,7.165,-0.0084
2014,7.226,-0.0084
2013,7.287,-0.0163
2012,7.408,-0.0161
2011,7.529,-0.0157
2010,7.649,-0.0156
2009,7.77,-0.0153
2008,7.891,-0.014
2007,8.003,-0.0139
2006,8.116,-0.0136
2005,8.228,-0.0135
2004,8.341,-0.0132
2003,8.453,-0.0205
2002,8.63,-0.0201
2001,8.807,-0.0196
2000,8.983,-0.0193
1999,9.16,-0.019
1998,9.337,-0.0209
1997,9.536,-0.0204
1996,9.735,-0.02
1995,9.934,-0.0196
1994,10.133,-0.0193
1993,10.332,-0.0185
1992,10.527,-0.0183
1991,10.723,-0.0179
1990,10.918,-0.0176
1989,11.114,-0.0172
1988,11.309,-0.0156
1987,11.488,-0.0153
1986,11.666,-0.0151
1985,11.845,-0.0148
1984,12.023,-0.0147
1983,12.202,-0.016
1982,12.401,-0.0157
1981,12.599,-0.0155
1980,12.798,-0.0152
1979,12.996,-0.0151
1978,13.195,-0.0184
1977,13.442,-0.018
1976,13.688,-0.0177
1975,13.935,-0.0173
1974,14.181,-0.0171
1973,14.428,-0.0265
1972,14.821,-0.0258
1971,15.213,-0.0252
1970,15.606,-0.0245
1969,15.998,-0.024
1968,16.391,-0.0318
1967,16.93,-0.0309
1966,17.469,-0.0299
1965,18.007,-0.0291
1964,18.546,-0.0282
1963,19.085,-0.0351
1962,19.779,-0.0339
1961,20.473,-0.0328
1960,21.167,-0.0317
1959,21.861,-0.0308
1958,22.555,-0.0385
1957,23.458,-0.0371
1956,24.361,-0.0357
1955,25.263,-0.0345
1954,26.166,-0.0334
1953,27.069,-0.0323
1952,27.972,-0.0313
1951,28.875,-0.0303
1950,29.777,0
